epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.071784496307373,1.0587406780408777,0.4782608695652174,0.46285822021116135,0.452291953570726,0.49404761904761907,0.25,0.375,0.8571428571428571
2,0.9851718470454216,0.9971693754196167,0.6086956521739131,0.5935993830730673,0.5873714386300198,0.625,0.5,0.375,1.0
3,0.8979047611355782,0.9554651094519574,0.6086956521739131,0.5935993830730673,0.5873714386300198,0.625,0.5,0.375,1.0
4,0.8028479591012001,0.9272251777026964,0.6956521739130435,0.6789473684210526,0.6764302059496567,0.7083333333333334,0.75,0.375,1.0
5,0.7735000029206276,0.9145601365877234,0.7391304347826086,0.7190988835725678,0.7183274391512378,0.75,0.875,0.375,1.0
6,0.6713874489068985,0.8883013803025951,0.7391304347826086,0.7190988835725678,0.7183274391512378,0.75,0.875,0.375,1.0
7,0.6053075306117535,0.872718826584194,0.7391304347826086,0.7190988835725678,0.7183274391512378,0.75,0.875,0.375,1.0
8,0.5826619230210781,0.8602175712585449,0.6956521739130435,0.6534571723426214,0.649831740476511,0.7083333333333334,0.875,0.25,1.0
9,0.48768072575330734,0.8498224279154902,0.6956521739130435,0.6534571723426214,0.649831740476511,0.7083333333333334,0.875,0.25,1.0
10,0.4479871913790703,0.8759337145349254,0.6956521739130435,0.6534571723426214,0.649831740476511,0.7083333333333334,0.875,0.25,1.0
